"","V1","V2"
"1",1,1
"2",1,1
"3",2,1
"4",1,1
"5",1,1
"6",1,1
"7",2,1
"8",2,2
"9",2,1
"10",1,1
"11",2,1
"12",1,1
"13",1,1
"14",1,1
"15",1,1
"16",1,1
"17",1,1
"18",1,1
"19",2,1
"20",1,1
"21",1,1
"22",1,1
"23",1,1
"24",1,4
"25",1,2
"26",1,1
"27",2,1
"28",1,1
"29",1,1
"30",1,1
"31",1,1
"32",2,1
"33",1,1
"34",2,1
"35",1,1
"36",4,1
"37",1,1
"38",1,1
"39",2,1
"40",1,1
"41",1,1
"42",1,1
"43",2,1
"44",2,1
"45",1,4
"46",1,1
"47",4,1
"48",1,1
"49",2,2
"50",1,1
"51",1,1
"52",1,1
"53",1,1
"54",1,1
"55",1,4
"56",1,4
"57",1,1
"58",1,2
"59",1,1
"60",1,1
"61",2,1
"62",1,4
"63",1,1
"64",2,1
"65",1,1
"66",1,1
"67",1,1
"68",1,1
"69",4,2
"70",1,4
"71",1,1
"72",1,1
"73",2,1
"74",1,1
"75",2,1
"76",1,1
"77",2,1
"78",1,1
"79",1,4
"80",1,1
"81",2,1
"82",1,1
"83",1,1
"84",1,4
"85",1,1
"86",1,1
"87",1,2
"88",1,1
"89",1,1
"90",1,1
"91",1,2
"92",2,1
"93",2,1
"94",4,1
"95",1,1
"96",1,1
"97",1,1
"98",1,1
"99",1,4
"100",1,4
"101",2,1
"102",1,1
"103",1,1
"104",1,1
"105",1,1
"106",1,1
"107",1,1
"108",1,4
"109",1,1
"110",1,1
"111",1,1
"112",1,1
"113",1,2
"114",1,1
"115",1,1
"116",1,4
"117",2,1
"118",2,1
"119",1,1
"120",2,1
"121",2,1
"122",1,1
"123",1,1
"124",1,1
"125",2,1
"126",1,1
"127",2,1
"128",1,1
"129",1,4
"130",1,1
"131",1,1
"132",4,1
"133",2,1
"134",1,1
"135",1,1
"136",1,1
"137",1,1
"138",1,1
"139",2,1
"140",2,1
"141",1,1
"142",1,1
"143",1,1
"144",2,1
"145",2,1
"146",2,2
"147",2,1
"148",1,1
"149",2,1
"150",2,1
"151",2,1
"152",2,1
"153",1,1
"154",1,1
"155",1,1
"156",1,2
"157",1,1
"158",2,1
"159",2,1
"160",1,1
"161",1,1
"162",4,1
"163",1,4
"164",4,2
"165",4,1
"166",1,1
"167",4,1
"168",1,1
"169",1,1
"170",2,1
"171",1,1
"172",1,4
"173",1,1
"174",1,1
"175",1,1
"176",2,4
"177",2,1
"178",1,1
"179",1,1
"180",4,1
"181",1,1
"182",1,1
"183",1,1
"184",1,1
"185",2,1
"186",1,4
"187",1,1
"188",4,1
"189",1,1
"190",2,1
"191",1,1
"192",4,2
"193",4,2
"194",2,1
"195",1,1
"196",1,1
"197",1,2
"198",2,4
"199",2,1
"200",1,1
"201",1,1
"202",2,2
"203",1,1
"204",2,2
"205",1,1
"206",1,1
"207",2,1
"208",2,1
"209",1,1
"210",1,2
"211",1,4
"212",2,1
"213",1,1
"214",1,1
"215",1,1
"216",1,1
"217",2,1
"218",2,4
"219",1,1
"220",2,1
"221",2,1
"222",1,1
"223",1,2
"224",1,1
"225",2,1
"226",2,1
"227",4,1
"228",1,1
"229",4,1
"230",1,1
"231",1,1
"232",1,1
"233",2,1
"234",1,1
"235",1,1
"236",1,4
"237",1,1
"238",1,1
"239",2,1
"240",1,1
"241",1,4
"242",1,4
"243",1,2
"244",2,1
"245",2,1
"246",2,2
"247",1,1
"248",1,1
"249",1,1
"250",2,1
"251",1,2
"252",1,1
"253",4,1
"254",1,1
"255",1,1
"256",2,1
"257",1,1
"258",4,1
"259",2,1
"260",1,4
"261",1,4
"262",1,4
"263",2,1
"264",1,1
"265",1,1
"266",1,1
"267",2,1
"268",1,4
"269",1,1
"270",2,1
"271",1,2
"272",1,1
"273",1,1
"274",4,1
"275",1,1
"276",1,1
"277",2,1
"278",1,1
"279",1,4
"280",2,1
"281",2,1
"282",1,1
"283",4,1
"284",1,4
"285",1,1
"286",1,1
"287",1,1
"288",1,1
"289",2,1
"290",2,1
"291",1,1
"292",1,1
"293",1,1
